Collocation	Score (likelihood_ratio)
('it', '’', 's', 'close')	22806.871548845655
('it', '’', 's', 'fast')	22806.74035305446
('since', 'it', '’', 's')	22806.61011599752
('While', 'it', '’', 's')	22803.650765631985
('then', 'it', '’', 's')	22803.41476963787
('it', '’', 's', 'amazing')	22802.468339098737
('it', '’', 's', '11pm')	22802.141794537827
('it', '’', 's', 'excruciatingly')	22802.141794537827
('it', '’', 's', 'justified')	22802.141794537827
('it', '’', 's', 'stocked')	22802.141794537827
('it', '’', 's', 'stockpiling')	22802.141794537827
('it', '’', 's', 'undertaken')	22802.141794537827
('it', '’', 's', 'unclear')	22800.744680952208
('it', '’', 's', 'great')	22800.29242582873
('So', 'it', '’', 's')	22798.12024925211
('it', '’', 's', 'interesting')	22797.905588710855
('it', '’', 's', 'an')	22797.554812917333
('way', 'it', '’', 's')	22797.080585433265
('it', '’', 's', 'disguising')	22796.673951139528
('it', '’', 's', 'phenomenal')	22796.673951139528
('it', '’', 's', 'practically')	22796.673951139528
('says', 'it', '’', 's')	22796.5983003812
('it', '’', 's', 'much')	22796.472354943828
('now', 'it', '’', 's')	22796.463882751632
('it', '’', 's', 'rooted')	22794.658292942935
('it', '’', 's', 'wireless')	22794.658292942935
('it', '’', 's', 'candy')	22792.443084245733
('it', '’', 's', 'own')	22792.37778406223
('it', '’', 's', 'due')	22792.353453150634
('years', 'it', '’', 's')	22791.7132582753
('it', '’', 's', 'certainly')	22791.4661612901
('it', '’', 's', 'globally')	22791.12254688789
('it', '’', 's', 'ridiculous')	22791.12254688789
('into', 'it', '’', 's')	22790.335157661993
('except', 'it', '’', 's')	22790.202520762447
('signs', 'it', '’', 's')	22790.202520762447
('it', '’', 's', 'actually')	22790.13672947415
('it', '’', 's', 'Unreal')	22789.834493982085
('it', '’', 's', 'so')	22788.904732273462
('it', '’', 's', 'her')	22788.80595408998
('it', '’', 's', 'cool')	22788.73731919067
('it', '’', 's', 'able')	22788.40818607149
('it', '’', 's', 'based')	22788.391422919874
('believes', 'it', '’', 's')	22788.339173969747
('it', '’', 's', 'usually')	22788.339173969744
('it', '’', 's', 'winning')	22788.339173969744
('it', '’', 's', 'ready')	22788.166349986048
('exactly', 'it', '’', 's')	22788.00825934983
('it', '’', 's', 'funny')	22788.00825934983
('China', 'it', '’', 's')	22787.830484168015
('it', '’', 's', 'here')	22787.550676680054
('it', '’', 's', 'owned')	22787.20348860345
('it', '’', 's', 'kind')	22787.0556110108
('it', '’', 's', 'European')	22786.973406832127
('it', '’', 's', 'taken')	22786.647960317132
('it', '’', 's', 'coming')	22786.578711576924
('it', '’', 's', '25')	22786.325561984435
('–', 'it', '’', 's')	22785.978647625387
('it', '’', 's', 'back')	22783.911229541383
('it', '’', 's', 'such')	22783.745516520838
('it', '’', 's', 'more')	22782.49887372127
('the', 'world', '’', 's')	22757.527383749522
('’', 's', 'on', 'the')	22731.984244480573
('last', 'year', '’', 's')	22665.599792732683
('the', 'company', '’', 's')	22661.176698058873
('’', 's', 'going', 'to')	22642.779876991164
('.', 'She', '’', 's')	22595.40293618007
('’', 's', 'a', 'lot')	22458.733126960386
('.', 'Here', '’', 's')	22398.779618659988
('.', 'What', '’', 's')	22378.33774108484
('’', 's', 'as', 'well')	22365.637369735578
('.', 'China', '’', 's')	22309.496753734682
('the', 'film', '’', 's')	22221.867337180516
('’', 's', 'co', '-')	22207.476368600328
('’', 's', 'able', 'to')	22203.069937747052
('the', 'country', '’', 's')	22144.71335033431
('.', 'Valeant', '’', 's')	22121.00932339932
('.', 'Passman', '’', 's')	22117.21621233654
('.', 'Today', '’', 's')	22112.982109055516
('.', 't', '’', 's')	22099.632266260545
('.', 'Larsen', '’', 's')	22098.35502584908
('.', 'Japan', '’', 's')	22092.545831353713
('.', 'America', '’', 's')	22081.572087058794
('.', 'Ollie', '’', 's')	22071.030225126695
('.', 'Moody', '’', 's')	22059.008682620057
('the', 'show', '’', 's')	22054.988845460815
('.', 'Apple', '’', 's')	22048.098784884438
('.', 'Brazil', '’', 's')	22036.97817881487
('.', 'Ganek', '’', 's')	22035.598844222484
('.', 'Samsung', '’', 's')	22033.470463395115
('.', 'Rowling', '’', 's')	22032.885383805937
